id,user,amount
0x102c3142aa11d40d85257c860cf5dd4f1ec30a71f825876fa73d1fcc79fcf374-0x2,0x4dfa59171917d438a3510bd4c06782cda72991bb,0
0x89145de27fcdccec00926ca3852a8df066da8b4edcffb5f05538b3c1e40ea19f-0x1,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,25997599462680461879175790
0x02c14deb0e365061ad07db3a5075f58f629417003224a711c627f562a519e186-0x3,0x82a28c491ec2bb88bdaee400e3b0124d40326e9e,9587403497376269295628502
0x9c89c68f3a6ae660a317c07bf0d19896e7d0329beb954b89a59fa9fd0c371e0d-0xb,0xbf0f18033950ef50570db1cfba0ab2eb49d3b889,1592992750772671455078517
0xaf7c9414685010ed149ab773a24e563795a1b9c0f35069121f124b70eca5f62a-0x2,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,1834174614792283746391645
0x5f78dcb5633f5d4ffdf77f304ae10b3d3215db54d6c7aeabc1974c1824685a5b-0x1,0x96c735a2dd275a063bc4ad1840311142284268a6,4079996844991372339773675
0xc583f1da8025b2494dac210617feb0a548e690127388d188bcb648560bf71f2c-0x15,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,2590247322977424774481751
0x483868ac3fd708821cb6432b5fc451a9a7c7f84adf2a56da19318026cc3b1408-0x3,0x82a28c491ec2bb88bdaee400e3b0124d40326e9e,464041103346849019506345
0xf151b7fd771ce2cf7b769cceb7bf25d477ae0fcc385224cf739a90841d4c0a02-0x1,0x96c735a2dd275a063bc4ad1840311142284268a6,2698220565027435329562180
0xa2a47f2a518ab6cb27f231afb5764b666c32f5225124598dadec24de4757b736-0x1,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,6540386235759787924463126
0x151b8074397d1c59a6fda9b95dfb113d1ace121352706e29b62b72f836e97178-0x16,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,3134230628362307751600685
0x3ed307c8ad15c59ca79b339818a5849280a60dd906a5afd7f08684f232e91160-0x3,0x89ad0536cea44c4db74b51b530a9474698307d1d,8865387406431092489773272
0xd591dabae76c408a76a3687ea75260bac622a70d4fcd61a3aadfd360a880bab6-0x1,0xbf0f18033950ef50570db1cfba0ab2eb49d3b889,19872041803896517379896878
0xcfa35759b92d3570a2de4429b6c132d0b063f9e7f46a583dc19664e38c485819-0x17,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,1697353868450981673827626
0x58c9e4522cad24e8877c337bbf920a66750c03b005309fc538e6a06ff10857c6-0x4,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,1277020474137931034474573
0xcbfca40007134e378356b8fd6ae0fc749f71a334b00e9800087addf620283008-0x3,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,2798145154853128991042119
0x854dad01be7c499d7c246af6e5ea8375dd9563a231904ece8efc1e7a598afde2-0x1,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,329661717411800824682621
0xd19c96ba7c427ea9020026f00ee47e139dd6f08358e43bcee51142f6cc5e4b03-0x34,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,731239092495636998250120
0x0f43c731c0693faabcedb853da794bab6d150b57a00b50fc34d2ca5f587dc14f-0x15,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,731657293976936687992232
0xdaf69d23361f353835a2d200846d579c10d2a6c2d5c01d916a49deffb0ed204e-0x21,0x96c735a2dd275a063bc4ad1840311142284268a6,5531925111963260273742550
0x491e3c8f3b5c9c8a80cf78dc39e7d50095e53b31a4e9c69e9a5666c3f0394c0c-0x6,0x6b11d8df39e465c748ca6e1624c63e473d9b7780,12903188074443634893698711
0xee4a1391d5a5e843ab43298ca032d3750913b7ca84218fd3e7c6379a74b711d6-0x1,0x6b11d8df39e465c748ca6e1624c63e473d9b7780,806636530398322851150
0x1c45023aeec9ec68efec6f9e4584e9925fc032e1dac990e73e16478d4f3e9550-0x25,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,4323910507187906028107280
0x28ea81f378ff5c53909093de27464f6e6c89431863e22ecbbdeeef64dc7c62f0-0x1,0xbaaa073651d058524864f709d4249a3cb162062f,1293283851373696264980226
0x9f738b5cb028db9ae73ebeba711c9fffde0adc2575bcbe7748eec226eaa1afb1-0x1,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,1945245972352026560695012
0x5423d88d4fa070ba828e189483506bcfd314725c7c8fe77300eaebdab5a9eb2c-0x3,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,1483640661720041004654116
0x9d5db8b867510fb9af8c82a3c9b3adbcbefdb544991c7b9b863ea6926b6da98a-0x3,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,893596697569300309020586
0x182454d5f46283775e3edfcbaf1b026dbb456d9214e28fcb2f4d3551f4a9662e-0x2,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,1621190853672471319519773
0x9dccea1cdc21d36efa45a4fa6c9509113026da5c3c5cf0ae9a5c761fabe559ce-0x10,0xbf0f18033950ef50570db1cfba0ab2eb49d3b889,13451909746738287165835389
0x9b76048316002ce94262b71ea500148f0705bd2c40c8147e1baead86e850a393-0x4,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,395949501546049385614693
0x21bd10897492521e8fc85087943224295588400444efec3a9d120a115ae7f06b-0x6,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,1245382061354283576497800
0xbb0d01061fcc77740622fa83bee6577831ebe494ad00c84cbe2936ad0389dc9c-0x1,0x6b11d8df39e465c748ca6e1624c63e473d9b7780,2152131887628046723352550
0xcc6a34a74d54e6ff92c11793ea110bf0c6885fafb64acd2639aaa659031bb9f2-0x18,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,899679667040778151883550
0xe6ed99cacffbf28a83f4977fe90bd19f3ed0b310c6c6e92fc96a286e0f5d0982-0x3,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,651918490460157126819600
0x53d6bbb96365f8b4eec3f65454876e2fc8fd52d9b91b6768fc271d602aad1eb3-0x5,0x89ad0536cea44c4db74b51b530a9474698307d1d,4147070375670262644753401
0x15abde6ea2b8f2e003e9c0cafa7063bf2e764308a2f3e1713441ef3639763763-0x13,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,568137976992143658806700
0x7cd168f98bbbf7d97de95da19e541f59d45aed01b18424af4eface1f5f2cfe10-0x4,0xbaaa073651d058524864f709d4249a3cb162062f,730220885563333818579603
0x2a57e05b58c4ab791572f28724c30741a3f3b3c1076dca350347cc522821395f-0x5,0x6b11d8df39e465c748ca6e1624c63e473d9b7780,388117283950617283948140
0x24711aba6406890cfcfd75f364ade85c9f8a87f5b2457c46af071fcaa5817f91-0x7,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,671690867003367003362700
0xf61deb3816f7e28dbc0adc7195eef33fc1abcdc7d8f999d807aface664fc1f09-0x4,0xbaaa073651d058524864f709d4249a3cb162062f,199046015712682379347772
0xe209bc6505411bf915aef35dbca562988bdc6a4850073e1a9e1502d9ebdcc262-0x1,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,2531185699588477366238950
0x5f7369a3fc6c5911f5eea6288f3483579dc93ecc96f46eab544b2acdcbdf2867-0x1,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,994479215274351123646050
0xf6d538e7d5c93d3d34ac84f557780ea1ab37f5d1cb7a9b13a9609fe2af4a1b49-0xa,0xbaaa073651d058524864f709d4249a3cb162062f,95834552396110123957000
0x8fa7239f54d966ef20080d45cd2694fc08064c6613163c54fa30fd6fefcb5bdf-0x2,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,1065608016304347826080150
0xedd4cd4a5caebda8e6dfcd954795369a7fcd9ee3a708b5e3358c76f83ade32b5-0x1,0xbaaa073651d058524864f709d4249a3cb162062f,101254042949371248157251
0x80c39d4715fe8406499b830ed896256b00cc72eb541be31d309f1767269fb0f1-0x7,0x6b11d8df39e465c748ca6e1624c63e473d9b7780,1022838920194586084808290
0xc6decc0a287b2fd41e0c0d526ec93b41f51633ffc3b05e169286c7639b07215c-0xd,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,1041380150655223329635250
