id,user,amount,swap_occurred,transaction_id,amount0_in,amount1_in,amount0_out,amount1_out
0x4cf4a14f3550d8bd254aaeaa5ecb9e50df9675eafe560ff2bed3cf6e8685b670-0x25,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,273165634227454721775450,t,0x610d627b10b6737b30f027411c785ba4a94722c92325bb2d1ef6976b091627d1,0,1074904502247603510434571,4290143213992316,0
0x14900ab56ac46728e0ecc5e65f6d0833e67fad973843a466ab0b5371e332b831-0x12,0x74b0d3ca2709cb51738c179d66c4b70f3bb18778,466145851163025376301840,t,0x6937457f26c3b920cfb43d82427f6ade9d30ac896a66d42c072dd47301ebf778,0,1571434343277564691308585,8021092957685351,0
