id,account,amount
0xfae21e4da691916fbd959bf4428ebba4def167c88b079ab38cae3e1983760ed0-0x2,0x96c735a2dd275a063bc4ad1840311142284268a6,5723065569712936
0xef86f3246c8568689db4ce37ce30d791a1db6d42befc1fe9fb83f5d7ca9e6ae0-0x2,0xd4ce560058b23c60233075708e0f42a2a0b5c02e,5246289806280
0x4d4b9c16bfb8ef27508ae3fe3cc0ad7d3495bd0ad624f4be252929e935afd108-0x1,0xcdf2d3a45c61680e8f6c9388181a3c3405668360,18886643250145833
0xf760d43bfac883818beaec81fa9d717c6b4563f703510133e7c33cfdb4ab6437-0xc,0xe8ea81d654b3d83249396bb541f716fed7186457,950033926902946
0x6447245a69fa452c11b34e2f8933d490939738e4f911000b15b4caf8cce29deb-0x1,0x04330a444f9d051713b13c934d478a552165c205,6741511173845468
0xcfc9a139af2da727fef6c223df8a38a2f51b70f340314f0db4ad1f395e85f1b8-0x24,0x9eb1e141b58e9204795ab2b323c860b637beb27d,94149143044395
0x24d68caf190f3daff09a462fb8becee28235f3965c84e900fa07a53fde73cbae-0x9,0xbf0f18033950ef50570db1cfba0ab2eb49d3b889,13487533540412051
0xa68acee0aed54abf4fce8e7f26cde77aa26e68edb929a7b9b1452813f41533ef-0x1,0xbc71faaef55147d2f96c0fbddddc399de6aac8ca,13194915818032289
0xd46035ed69b7240c107d47d561f67d39c7857ab55bc5275acc6626faec98042c-0x5,0x6b11d8df39e465c748ca6e1624c63e473d9b7780,1679352922295018
0xa427a4f3f508f2b1cc8b8df23cf6a8316b7204648ddc052146b28b29b5dec57c-0x7,0x6c01e768797a222e53160ac129effaa903e44123,67507451807744148
0x6f8d5271102e1de51d2b44ff8d15ba65ec433210b0ed6051f1ce18636c614082-0x20,0xbf0f18033950ef50570db1cfba0ab2eb49d3b889,40467520046409040
0xceec22ddeb23a3a84ecd2c581e82b3e8ea9963f3d927cbc06a9487c238551275-0xb,0x6b11d8df39e465c748ca6e1624c63e473d9b7780,5665452806497265
0x8c568d2447572af78fb68dd4132a8c55f0adbc5d64144d9d8c943506f3aa5ff6-0x3,0x92b055331efc082992ed826a58092750200d16a4,2664956644250470
0x4e490e8aad5d8e10f9cfcff5f44277dd3147d83308af35d502a8432e78a33457-0x6,0x9eb1e141b58e9204795ab2b323c860b637beb27d,498599335227399
0x4d53e181126fabdd69bfe222c7e738ab46d0d8da1043ff1e17113160c9a43f1f-0x1,0xf87253513a46d786fbaf1adb9850e6f9fdb9f4ad,1153964059303922
0x2c57e0e95c2815f4a6a0f64145840452373e6016fd0f1025a1165850edbb5d3d-0x9,0x96c735a2dd275a063bc4ad1840311142284268a6,2633411308870971
0x943c6967f973358a5c72a293854dece87d424f69b218cf046c93805a1377876d-0x3,0xbaaa073651d058524864f709d4249a3cb162062f,113567714886086
0x024b3e13d9a4625a0a962c04d4375bb558d4fd1308311b3fc40e26e47f1e177b-0x6,0x04330a444f9d051713b13c934d478a552165c205,3313877586549655
0xa7a5b6c424eb10361aa406641e3607cac2f03ae416931b0b5fb2e1563466109e-0x1,0x9eb1e141b58e9204795ab2b323c860b637beb27d,547471505765719
